date,tool,model,purpose,data_type,contains_raw_data,contains_identifiable_data,external_api_used,output_summary,researcher_decision
2026-07-01,Codex; Anna MCP; PubMed-EPMC; Zotero Web API; web search,GPT-5 Codex,Pinquart 2013 tam metin alternatif rota denetimi ve doktoratezi referans ledger notu,bibliyografik metadata ve anonim tez yazim kanit zinciri,no,no,yes,"Pinquart 2013 icin Anna read_article 404, PubMed-EPMC no-oa, OpenAlex/Europe PMC kapali erisim; SciSpace PDF aynasi ve OUP/Ovid/ResearchGate alternatif rotalari not edildi.",SciSpace aynasi tek basina cite-ok/full-text-ok sayilmayacak; kurumsal/yazar veya ek provenance beklenir.
2026-07-01,Codex; Playwright; OpenAthens/MK; Oxford Academic,GPT-5 Codex,Pinquart 2013 icin MK OpenAthens kurumsal erisim kurulumu ve full-text gate dogrulamasi,"bibliyografik metadata, yayin linkleri ve redacted credential konfigurasyonu",no,no,yes,Millet Kutuphanesi kimlik sistemiyle OpenAthens/OUP SSO tamamlandi; Pinquart 2013 OUP HTML tam metin bolumleri dogrulandi; PDF endpoint Cloudflare dogrulamasina takildi; credential anahtar adlari .env icinde OPENATHENS_* olarak duzenlendi.,Pinquart 2013 full-text-ok sayildi; Zotero/BibTeX ve bolumde citation karari ayrica kapanacak.
2026-07-01,Codex; Evidentia; OpenAthens/Millet Kutuphanesi; Oxford Academic; Zotero Web API; Anna fallback,GPT-5 Codex,tez tam metin erisim kaskadini OpenAthens-first Evidentia surecine baglama ve Pinquart 2013 full text Zotero kapanisi,anonim/turetilmis proje baglami ve bibliyografik metadata,no,no,yes,"OpenAthens-first tam metin playbooku, Zotero import/upload script genisletmesi, Pinquart 2013 Zotero item/attachment/BibTeX/ledger kapanisi; raw veri veya credential yok","Tez yaziminda OpenAthens ilk tam metin kapisi, Anna fallback ve Zotero kapanis kapisi olarak kullanilacak."
2026-07-01,Codex; Evidentia; PubMed/EPMC; OpenAlex; Paper Search; Semantic Scholar; Anna; Zotero Web API,gpt-5-codex,"doktoratezi chapters/01_giris.qmd sertifikasyon: künye, full-text, Zotero, kılavuz, AI-reliability ve render kapıları",anonim/türetilmiş bölüm metni ve bibliyografik metadata,no,no,yes,"01_giris sertifikasyon koşusu: PubMed/OpenAlex/Paper Search doğrulandı; Semantic Scholar rate-limit, Anna reauth ve Zotero eksikleri nedeniyle bölüm final değil; ham veri veya credential taşınmadı.",
2026-07-01,Codex; Semantic Scholar; annas-reader; Zotero Web API,gpt-5-codex,01_giris sertifikasyon blokajlarını kapatma ve T1DM Thesis Zotero collection senkronizasyonu,anonim/türetilmiş bölüm metni ve bibliyografik metadata,no,no,yes,"Semantic Scholar coverage, Anna full-text, Zotero T1DM Thesis collection sync ve Pinquart duplicate cleanup tamamlandı; ham veri veya credential taşınmadı.",
2026-07-01,Codex; Zotero Web API; Quarto; t1dm-qual-ai-audit; doktoratezi-ai-audit,gpt-5-codex,01_giris certified-final sertifika kapanışı ve approval-gap kapatma,"anonim/türetilmiş bölüm metni, sertifika metadata ve bibliyografik metadata",no,no,yes,"Kullanıcı uygulama onayı ile 01_giris sertifikası certified-final yapıldı; iki AI-reliability, Zotero citation parity, Quarto check/render ve diff hijyeni doğrulandı; ham veri veya credential taşınmadı.",
2026-07-01,Codex + Evidentia/PubMed/YOK/Zotero,GPT-5 Codex,02 Genel Bilgiler hazırlık briefini Evidentia D0-D6 protokolüyle kapsamlı yazım planına dönüştürme,anonim/türetilmiş tez yazım bağlamı ve bibliyografik metadata,no,no,yes,doktoratezi tez-yazim 02_genel-bilgiler.md dosyası genişletildi; ham veri veya ham transcript kullanılmadı,Yazım planı ve kaynak kapıları araştırmacı onayına sunuldu
2026-07-01,Codex + Evidentia/PubMed/Web/Zotero,GPT-5 Codex,GENEL BİLGİLER üretim bölümünü yazma ve Quarto render doğrulaması,anonim/türetilmiş tez yazım bağlamı ve bibliyografik metadata,no,no,yes,doktoratezi chapters/02_genel_bilgiler.qmd yazıldı; thesis.qmd include sırası güncellendi; references.bib ve referans ledgeri candidate kaynaklarla genişletildi; ham veri veya ham transcript kullanılmadı,Bölüm taslak/provisional statüde; yeni kaynakların Zotero import ve tam metin kapıları final sertifika öncesi kapanacak
2026-07-01,Codex + Evidentia/PubMed/OpenAthens/Anna/OpenAlex/Zotero,GPT-5 Codex,GENEL BİLGİLER tam metin erişim kapısını kapatma ve bölümü zenginleştirme,"anonim/türetilmiş tez yazım bağlamı, bibliyografik metadata ve dış tam metin özetleri",no,no,yes,"OpenAthens-first rota düzeltildi; Trojanowski için OUP/OpenAthens resmi HTML doğrulandı; ADA, ISPAD, Chen ve Ludvigsen için PMC tam metin kapandı; Chan/Shorey full-text-exception olarak ledgerda bırakıldı ve metindeki citation yükü Ludvigsen 2026 kaynağına kaydırıldı; bölüm genişletildi ve Quarto render geçti",GENEL BİLGİLER kaynakları cite-ok düzeyine getirildi; Chan/Shorey yalnız manuel kurumsal erişim kapanırsa final citation olarak geri alınacak
2026-07-01,Codex,GPT-5,Genel Bilgiler bölümüne Türkiye bağlamı ekleme; PubMed/PMC kaynak doğrulama ve Quarto render kontrolü,tez yazımı; dış literatür; ham veri yok,no,no,yes,02_genel_bilgiler.qmd dosyasına Türkiye bağlamında pediatrik T1DM ve aile bakımı alt bölümü eklendi; Eviz 2026 PMC kaynağı references.bib ve ledger'a işlendi.,Araştırmacı nihai metin ve Zotero import kararını ayrıca gözden geçirecek.
2026-07-02,Codex,GPT-5,"Kapsamlı AI reliability kontrolü: doktoratezi ve T1DM nitel çift kapı, promptfoo, R/Python testleri, Quarto render",anonim/türetilmiş repo artefaktları; ham veri yok,no,no,yes,"t1dm-qual-ai-audit 55/55, doktoratezi-ai-audit 142/142, promptfoo 4/4+4/4, T1DM unittest 39/39, doktoratezi 50 R test dosyası ve tr_sciaudit 5/5 geçti; Quarto check/render geçti; T1DM diff-check trailing whitespace bulgusu ve Eviz Zotero pending riski not edildi.",Bulgular araştırmacı tarafından Zotero import ve nitel dosya whitespace hijyeni için ayrıca kapatılacak.
2026-07-02,Codex; PubMed/EPMC; YOK Tez MCP; Zotero Web API; Anna/OpenAlex fallback,GPT-5 Codex,"Doktoratezi Genel Bilgiler textbook bolum yazimi icin literatur dogrulama, YOK tez katmani, Zotero kaynak entegrasyonu, ledger ve render/reliability kapanisi",Anonim/turetilmis tez yazim baglami ve bibliyografik metadata; ham nitel veri yok,no,no,yes,chapters/02_genel_bilgiler.qmd 24 baslikli yaklasik 12000 kelimelik textbook taslaga genisletildi; YOK tezleri Zotero ve ledger ile kapatildi; quarto render ve iki repo AI reliability gecti,"Kullanici talebi uzerine t1dm-tez ve Evidentia sureciyle uygulandi; ham transcript, satir duzeyi veri ve credential kullanilmadi"
2026-07-02,claude-code,claude-fable-5,TOOL_ECOSYSTEM_MAP surec dogrulama testi,anonim/türetilmiş,no,no,yes,dmnitel komutlari + hook/test/gate katmanlari dogrulandi,
2026-07-02,openalex-mcp,claude-fable-5,TOOL_ECOSYSTEM_MAP dogrulama - MCP cekirdegi duman testi,anonim/türetilmiş,no,no,yes,"RTA referansi (Braun-Clarke 2019, DOI 10.1080/2159676X.2019.1628806) cozumlendi",
2026-07-02,Codex; PubMed/EPMC; YÖK Tez MCP; Zotero Web API,GPT-5 Codex,"GENEL BİLGİLER bölümünü güncel tam metin literatür, YÖK tez katmanı ve Zotero/BibTeX/ledger entegrasyonu ile genişletme",Anonim/türetilmiş tez yazım bağlamı ve bibliyografik metadata; ham nitel veri yok,no,no,yes,02_genel_bilgiler.qmd literatür bağlamı genişletildi; yeni tam metin DOI kaynakları ve bir YÖK tezi Zotero/references/ledger ile bağlandı; Quarto render ve AI reliability kontrolleri çalıştırıldı,"Yeni kaynaklar yalnız kavramsal arka plan için kullanıldı; bulgu, ham transkript, satır düzeyi veri ve aile düzeyi hassas ayrıntı aktarılmadı"
2026-07-02,Codex + Evidentia/PubMed-YOKTez-Zotero workflow,GPT-5 Codex,"Genel Bilgiler bolumunde psikometrik olcum araci baglaminin, Turkiye validasyon katmaninin ve tam metin kaynak denetiminin zenginlestirilmesi","Tez taslagi, bibliyografik metadata, acik/tam metin kaynaklar ve YOK Tez metadata; ham nitel veri yok",no,no,yes,chapters/02_genel_bilgiler.qmd icinde 2.15-2.16 psikometri genisletmesi; references.bib ve referans ledgeri guncellemesi,"Kaynaklar tam metin ve Zotero/ledger kapisi ile kullanildi; ham transcript, aile duzeyi veri ve .env icerigi kullanilmadi"
2026-07-02,grok-promptfoo-gate,grok-4.3,Layer-4 reasoning gate calistirildi (nitel + doktoratezi),anonim/türetilmiş,no,no,yes,iki repo grok reasoning gate 4/4 + 4/4 PASS,
2026-07-02,Codex + local AI reliability gates,GPT-5 Codex,T1DM Niteliksel ve doktoratezi repolarinda genel AI-reliability kontrolu,"Repo metadata, redacted MCP roster, local audit/test output; ham nitel veri ve .env icerigi yok",no,no,no,"dmnitel context/route, redacted MCP roster, unittest, t1dm-qual-ai-audit, doktoratezi-ai-audit ve promptfoo offline gate sonuclari raporlandi","Kontrol raporu uretildi; ham transcript, aile duzeyi hassas ayrinti ve credential okunmadi"
2026-07-02,anamnesis,claude-fable-5,Baglam yonetimi katmani entegrasyonu: corpus_stats + semantic_search + turetilmis karar ozeti ingest,anonim/türetilmiş,no,no,yes,corpus 1->2 dok; entegrasyon karar notu indekslendi ve round-trip dogrulandi; PII yok,
2026-07-03,evidentia (pubmed-epmc + openalex),claude-opus-4-8,GENEL BILGILER'deki 9 YOK tez atfina hakemli dergi karsiligi arama (Marmara kilavuzu 3.8.2 uyumu),anonim/turetilmis,no,no,yes,"8/9 tez icin dogrulanmis PMID/DOI Turkiye-ornekli dergi adayi bulundu; apalaci SRQ icin PubMed karsiligi yok (furman1985+aktas2017 zaten kapsiyor). Aday PMIDs: 32844587,28825591,39440968,39711005,39021699,38864877,25800477",
2026-07-03,zotero-web-api (zotero_env_bridge import-doi) + evidentia fulltext (pubmed-epmc/annas-reader),claude-opus-4-8,GENEL BILGILER 8 YOK tez atfini hakemli dergi karsiligiyla degistirme (Marmara 3.8.2): 6 dergi Zotero import + tam metin + atif swap,anonim/turetilmis,no,no,yes,"6 dergi Zotero'ya import (item: 4E2VMUUC,6TKF4MS5,9BRQJZG8,ENDQ6QEV,C5JXI4HW,Z8SN66BQ), references.bib + ledger cite-ok kapandi; 8 tez retired; apalaci1996 danisman-onayli istisna korundu. Cift AI-reliability 55/55+142/142, render temiz.",
2026-07-03,evidentia (pubmed-epmc) + zotero-web-api (import-doi),claude-opus-4-8,GENEL BILGILER textbook yeniden yazim pilotu (§2.1): otoriter kaynak arama + 2 OA kaynak kapisi,anonim/turetilmis,no,no,yes,"§2.1 textbook'a cevrildi (self-refsiz, tanimli, tam kaynakli). 2 yeni OA kaynak kapida: dimeglio2018t1d (WJVX8GXN, PMID 29916386) + deBock2022ispadGlycemicTargets (S9CBWMPP, PMID 36537523). 3 OA-olmayan ISPAD bolumu (Libman/Cengiz/Glaser) Anna's oturumu dolu oldugu icin alinmadi; DiMeglio seminer bunlari overview duzeyinde karsiladi.",
2026-07-04,Elicit+PubMed/PMC,claude-opus-4-8,"§2.8 T1DM ebeveyn katılımı/izlem niteliği için OA tam metin kaynak kapılama (Young 2014 PMC4283591, Jaser 2011 PMC3370388)",türetilmiş,no,no,yes,"2 OA kaynak DOI/PMID/PMCID doğrulandı, Zotero import, references.bib + ledger cite-ok",
2026-07-04,Elicit+Anna's,claude-opus-4-8,§2.10 anne depresif belirti→ebeveynlik yolları için kanonik meta-analiz kaynağı (Goodman 2020 mediational),türetilmiş,no,no,yes,"Goodman 2020 Crossref-doğrulamalı Anna's tam metin, Zotero import, references.bib + ledger cite-ok",
2026-07-05,Elicit+Anna's,claude-opus-4-8,§2.12 KİA/SRQ 4 boyut tanımı için Furman&Buhrmester 1985 kanonik kaynak doğrulama (mevcut furmanBuhrmester1985srq anahtarıyla konsolide edildi),türetilmiş,no,no,yes,Mükerrer anahtar tespit edilip kanonik anahtara konsolide; kopya Zotero item + bib + ledger satırı temizlendi,
2026-07-05,PubMed/PMC ada2026,claude-opus-4-8,§2.14-2.24 ölçüm/psikometri/karma yöntem/etik/kavramsal model self-ref temizliği + HbA1c textbook tanımı (ada2026children),türetilmiş,no,no,yes,"Bölüm geneli tez self-ref 0'a indirildi, HbA1c ISPAD/ADA kaynaklı tanımlandı, kapanış meta-bloğu kaldırıldı",
2026-07-05,Elicit+PubMed/PMC+Anna's,claude-opus-4-8,"§1 GİRİŞ epidemiyoloji + T1D-özgü kaynak zenginleştirme (IDF Atlas insidans, Türkiye ulusal insidans, trojanowski/goodman/chanShorey)",türetilmiş,no,no,yes,"2 yeni kaynak kapılandı (yesilkaya2016 Anna's full-text-ok, ogle2022 abstract-doğrulamalı OA), 3 mevcut T1D-özgü kaynak girişe eklendi, Marmara sayı/terim uyumu",
2026-07-05,annas-reader + pubmed-epmc,claude-fable-5,"GIRIS bolumu tam metin yeniden denetimi: chanShorey2022 ve ogle2022idfAtlas OA rota kontrolu, T1DM kardes OA sistematik derleme taramasi",turetilmis,no,no,yes,"chanShorey2022 ve ogle2022idfAtlas OA rotalari kapanmadi (Anna SciDB yanlis-eslesme reddi, EPMC/Unpaywall no-oa); OA'da ustun T1DM kardes derlemesi yok; kardes iddiasi ludvigsen2026+lummerAikey2021 uzerine konsolide edildi",
2026-07-05,zotero-web-api + pubmed-epmc + annas-reader,claude-fable-5,01-giris sertifikasyon Kapi 2: furmanBuhrmester1985srq zotero-gap kapatma (DOI import) + PMID/DOI dogrulama,turetilmis,no,no,yes,Bayat Zotero item Z5RKE9QG 404; DOI 10.2307/1129733 ile T1DM Thesis collection'a yeniden import (yeni item H8VZE5PT); 18/18 atif Zotero+bib mutabik; bolum certified-final,
2026-07-06,"evidentia-connectors-preflight (pubmed-epmc, openalex, semantic-scholar, paper-search, consensus, scholar-gateway, clinicaltrials, biorxiv, yoktez, annas-reader, openathens, anamnesis, evidentia-kb, ema, openfda, med-terminologies, who-gho, globocan, drugddx, npi)",claude-fable-5,Evidentia MCP connector saglik denetimi (canli probe) — bagli mi / islevsel mi,generic-topic-probes (no participant data),no,no,yes,"Cekirdek + tam-metin + RAG + Tier-K/O canli; gap: psyarxiv-osf wired degil, openathens key yok, adisinsight auth gerek",
2026-07-06,"Claude Code + Evidentia(pubmed-epmc, Anna's article_search) + Zotero Web API bridge",claude-opus-4-8[1m],"doktoratezi tez §2.1 (Çocukluk Çağında T1DM) geniş literatür zenginleştirme: kaynak doğrulama, tam-metin kapısı, Zotero senkron, referans ledger",anonim/türetilmiş (yalnız yayın metni + karar bağlamı),no,no,yes,"3 yeni PMC-OA kaynak (Haller2024 ISPAD staging/screening, Ziegler2013 JAMA autoantibody, Adolfsson2022 ISPAD exercise) cite-ok; §2.1 8→13 paragraf; 6 closed ISPAD 2022 chapter + Gregory2022 tam-metin kapanmadı (OpenAthens down) → candidate bırakıldı; çift AI-reliability 142/142 + 55/55 pass",kullanıcı geniş yeniden yazım + Zotero yazımını açık onayladı
2026-07-06,"Claude Code + Evidentia(pubmed-epmc, Anna's read_article) + Zotero Web API bridge",claude-opus-4-8[1m],"doktoratezi tez §2.2 (Pediatrik T1DM'de Psikososyal Bakım) geniş literatür zenginleştirme: kaynak doğrulama, tam-metin kapısı, Zotero senkron, referans ledger",anonim/türetilmiş (yalnız yayın metni + karar bağlamı),no,no,yes,"5 yeni kaynak cite-ok (Buchberger2016 youth depresyon/anksiyete, Hagger2016 diyabet sıkıntısı — Anna's tam metin; Franceschi2021 CGM, Canha2025 AID, YoungHyman2016 ADA — PMC-OA); §2.2 8→11 paragraf; deWit2022 tek-kaynak yoğunluğu whittemore2012/crandell2017 ile azaltıldı; distiller iki hatalı aday PMID'i yakaladı; çift AI-reliability 142/142 + 55/55 pass",kullanıcı §2.1 ile aynı yolu (geniş yeniden yazım + Zotero yazımı) onayladı
2026-07-06,"Claude Code + Evidentia(pubmed-epmc, Anna's read_article) + Zotero Web API bridge",claude-opus-4-8[1m],"doktoratezi tez §2.3 (Türkiye Bağlamında Pediatrik T1DM) zenginleştirme: Türkiye kaynak doğrulama, tam-metin kapısı, Zotero senkron, referans ledger",anonim/türetilmiş (yalnız yayın metni + karar bağlamı),no,no,yes,"3 yeni PMC-OA Türkiye kaynağı cite-ok (Sahin2015 PARI ebeveyn tutumu, Kucukdag2024 anne Beck depresyon/duygu düzenleme, Dundar2023 il düzeyi insidans trendi); §2.3'e tez çekirdek kavram paragrafı eklendi; Oz2023 Anna's SciDB'de yok, PMC-OA Kucukdag2024 ile değiştirildi; çift AI-reliability 142/142 + 55/55 pass",kullanıcı 'devam' ile sıradaki bölümde aynı yolu onayladı
2026-07-06,Claude Code + Evidentia(pubmed-epmc) + Zotero Web API bridge,claude-opus-4-8[1m],doktoratezi tez GENEL BİLGİLER kalan alt bölümleri hedefli kaynak zenginleştirme + tüm bölümün Marmara-uyumlu başlık/alt-başlık reorganizasyonu,anonim/türetilmiş (yalnız yayın metni + karar bağlamı),no,no,yes,"4 yeni PMC-OA kaynak cite-ok (Fang2025 SES/teknoloji eşitsizliği, LansingBerg2014 öz-düzenleme, Ferro2022 informant uyumu, Wong2023 T1DM diadik); 24 düz bölüm 8 tematik üst-başlık + sentence-case alt-başlık yapısına dönüştürüldü (Marmara §1.3 uyumlu, dört-düzey tavanı aşılmadı); içerik bütünlüğü doğrulandı (183 gövde satırı korundu); çift AI-reliability 142/142 + 55/55 pass","kullanıcı reorganizasyon yapısını onayladı ve stil kararlarını (colon-free başlık, number-depth) bana bıraktı"
2026-07-07,Paper Search / Crossref MCP,claude-opus-4-8,"02_yontem.qmd nitel-metodoloji referanslarinin DOI/kunye dogrulamasi (Braun-Clarke 2006/2019, Malterud 2016, Tong COREQ 2007)",türetilmiş,no,no,yes,4 DOI Crossref metadata ile birebir dogrulandi; references.bib ve referans-denetim-ledgeri guncellendi; ham/kimliklenebilir veri gonderilmedi,
2026-07-07,Anna's Reader + Zotero Web API + Crossref/PubMed-EPMC,claude-opus-4-8,"02_yontem nitel metodoloji referanslari icin tam-metin + Zotero mutabakati kapisi (6 DOI import, citekey eslendi); nitel kol metodoloji paketi ile bolum zenginlestirme",türetilmiş,no,no,yes,"Malterud+Tong Anna's DOI ile bulundu; 6 DOI Zotero'ya aktarildi; cift AI-reliability 142/142+55/55 PASS; ham transcript acilmadi, harici servise yalniz bibliyografik metadata gonderildi",
2026-07-07,Crossref/Paper-Search + Zotero Web API,claude-opus-4-8,"02_yontem EMBU psikometrik validasyon bolumu icin 5 metodoloji referansi dogrulama + Zotero yazimi (Hu-Bentler, Chen, Muthen-Asparouhov, Lakens, Steegen); psikometrik validasyon plani ile bolum zenginlestirme",türetilmiş,no,no,yes,5 DOI Crossref ile dogrulandi ve Zotero'ya yazildi; McHale yanlis DOI yakalandi ve eklenmedi; ham veri gonderilmedi,
2026-07-07,"sci-audit agents (claim-refuter, citation-verifier, guideline-mapper) + Crossref/PubMed-EPMC/OpenAlex/SemanticScholar/OpenLibrary public APIs",claude-opus-4-8,"01/02/03 bölüm sertifikasyon tekrar denetimi: referans tam-metin uyumu (6 sayısal claim), 12 referans retraction/metadata, COREQ-32 uyum eşlemesi",anonim/türetilmiş (yalnız yayımlanmış bibliyografik künye + agregat sayısal claim),no,no,yes,"6/6 sayısal claim SUPPORTED; 12/12 referans çözüldü, retraction yok, lincolnGuba1985 gerçek kitap; COREQ 24 present/5 partial/3 missing (missing=Domain-3, nitel Bulgular'a ertelendi)",
2026-07-07,YokTez-MCP (get_yok_tez_thesis_details),claude-opus-4-8[1m],KİA/SRQ Türkçe uyarlama kaynağı Apalaçi (1996) tez künyesinin doğrulanması (03_gerec_ve_yontem.qmd atıf ekleme),public-bibliographic-metadata,no,no,yes,"YÖK Tez No 52148 künye+özet doğrulandı; Boğaziçi Üni. YL tezi, Furman-Buhrmester SRQ Türkçe kullanım/uyarlama kaynağı; @apalaci1996yoktez prose'a bağlandı, @aktas2017 karşılaştırmalı ek kaynak olarak tutuldu",
2026-07-08,"Evidentia (PubMed/EPMC, OpenAlex, CrossRef, Semantic Scholar) — 5 paralel alt-ajan",claude-opus-4-8[1m],doktoratezi (nicel kol) SAP Faz III post-hoc plani v0.2 genisletmesi icin literatur capa dogrulamasi: PDT/sosyal-sinif/maternal-distres/aile-yapisi/metodoloji+T1DM,yalniz kamuya acik literatur sorgulari (yapisal kavramlar); hicbir katilimci/ham veri gonderilmedi,no,no,yes,Evidentia varlik-dogruli gercek DOI/PMID capa kunyeleri + Pinquart 2013 g-benchmarklari; tam-metin openathens gated (abstract duzeyi); referans-kapisi tam-metin dogrulamasi bekliyor,capalar plan EK'sine islendi; references.bib'e girmeden once /referans-kapisi 6-adimli kapisi zorunlu
2026-07-08,OpenAthens (Millet Kutuphanesi) + Anna's Reader (SciDB) + Europe PMC — tam-metin dogrulama workflow'u (40 ajan),claude-opus-4-8[1m],doktoratezi Faz III plan v0.3: 20 literatur capasinin tam-metinle claim-page dogrulamasi (14 CONFIRMED / 5 CORRECTED / 1 NOT_FOUND),yalniz yayimlanmis literatur tam-metni; hicbir katilimci/ham veri connectore gonderilmedi,no,no,yes,"5 CORRECTED: McHalePawletko(buffering yanlis), SharpeRossiter(d0.28->0.41/0.15), Prikken(mediyator psikolojik kontrol), Conger(beta NOT_FOUND), Eradus(deger teyit); plan v0.3'e islendi",referans-kapisi 3/6 adim kapandi (varlik+tam-metin+claim-page); Zotero/BibTeX mutabakati bekliyor
2026-07-08,Evidentia KB + PubMed/EPMC + sci-audit axis G + Zotero status,Codex GPT-5,chapters/01_giris_ve_amac.qmd tekrar kaynak ve Türkçe bilimsel yazım denetimi,anonim/turetilmis; yayımlanmış bibliyografik künyeler,no,no,yes,01_giris_ve_amac için 18 citation PubMed/EPMC/BibTeX/ledger ile kontrol edildi; sci-audit axis G 0 error/7 warning; çift repo AI-reliability geçti,
2026-07-09,Codex + Evidentia literature connectors,GPT-5 Codex,CSR C01-R05/R09/R10/R13 full-text and abstract verification,"Published literature metadata, abstracts, and open-access article text only; no raw participant data",no,no,yes,Updated doktoratezi outputs/tables/csr_evidentia_c01_records.csv and outputs/reports/csr_evidentia_c01_search_log.md with C01-R05 full-text verification and C01-R09/R10/R13 abstract-level closure plus wrong-PDF rejection notes,Use C01-R05 as full-text anchor; use C01-R09/R10/R13 only for abstract-verified contextual claims until correct full text is obtained
2026-07-09,Codex + Evidentia/OpenAthens/Anna's,gpt-5.2-codex,CSR C01 OpenAthens and Anna's full-text verification plus MCP setup,Published literature DOI/title metadata and derived access-status summaries only; no participant data,no,no,yes,"Updated doktoratezi C01 full-text scan report, search log, and C01 records CSV; no raw transcript or PII used",Use OpenAthens/Anna's statuses as evidence-access ledger; keep C01-R09 and C01-R13 abstract-verified only until correct full text is obtained
2026-07-09,Codex + Evidentia/OpenAthens/Anna's/PubMed/Crossref,gpt-5.2-codex,CSR C01 literature-grounded text update,Published literature DOI/title metadata and derived CSR prose only; no participant data,no,no,yes,Updated doktoratezi docs/CLINICAL-STUDY-REPORT-FINAL.md and references/references.bib for C01 literature rationale; no raw transcript or PII used,Use updated C01 prose with Pinquart and Sharpe-Rossiter kept abstract-verified/contextual and R10 upgraded to OpenAthens full-text availability
2026-07-09,Codex,gpt-5.2-codex,CSR C01 narrative flow and language refinement,Derived CSR prose and published-literature citations already present in report; no participant-level data,no,no,no,"Refined narrative language, semantic ordering, and causal caution in doktoratezi docs/CLINICAL-STUDY-REPORT-FINAL.md C01-updated sections",Use revised C01 prose; no numeric results or source claims changed
