quote_id,aile_no,rol,tema,triadik_eksen,kaynak_dosya
014_healthy_sibling_q005,014,healthy_sibling,Tema 1,annelik_donusum,chapters/04_bulgular.qmd
019_healthy_sibling_q008,019,healthy_sibling,Tema 1,annelik_donusum,chapters/04_bulgular.qmd
202_healthy_sibling_q002,202,healthy_sibling,Tema 1,kardes_yasantisi,chapters/04_bulgular.qmd
014_healthy_sibling_q006,014,healthy_sibling,Tema 1,kardes_yasantisi,chapters/04_bulgular.qmd
014_mother_q009,014,mother,Tema 1,kardes_yasantisi,chapters/04_bulgular.qmd
014_t1dm_child_q006,014,t1dm_child,Tema 1,annelik_donusum,chapters/04_bulgular.qmd
026_healthy_sibling_q006,026,healthy_sibling,Tema 1,kardes_yasantisi,chapters/04_bulgular.qmd
202_healthy_sibling_q003,202,healthy_sibling,Tema 1,hastalik_algisi,chapters/04_bulgular.qmd
014_mother_q010,014,mother,Tema 2,hastalik_algisi,chapters/04_bulgular.qmd
014_mother_q011,014,mother,Tema 2,annelik_donusum,chapters/04_bulgular.qmd
014_mother_q012,014,mother,Tema 2,gunluk_sosyal,chapters/04_bulgular.qmd
014_mother_q013,014,mother,Tema 2,kaybetme_korkusu,chapters/04_bulgular.qmd
014_mother_q014,014,mother,Tema 2,ergenlik,chapters/04_bulgular.qmd
014_mother_q015,014,mother,Tema 2,hastalik_algisi,chapters/04_bulgular.qmd
026_mother_q012,026,mother,Tema 2,hastalik_algisi,chapters/04_bulgular.qmd
026_mother_q013,026,mother,Tema 2,gunluk_sosyal,chapters/04_bulgular.qmd
026_mother_q014,026,mother,Tema 2,kaybetme_korkusu,chapters/04_bulgular.qmd
011_mother_q012,011,mother,Tema 2,hastalik_algisi,chapters/04_bulgular.qmd
011_mother_q013,011,mother,Tema 2,ergenlik,chapters/04_bulgular.qmd
019_mother_q009,019,mother,Tema 2,gunluk_sosyal,chapters/04_bulgular.qmd
019_mother_q010,019,mother,Tema 2,kaybetme_korkusu,chapters/04_bulgular.qmd
201_mother_q001,201,mother,Tema 2,ergenlik,chapters/04_bulgular.qmd
019_t1dm_child_q002,019,t1dm_child,Tema 2,ergenlik,chapters/04_bulgular.qmd
019_t1dm_child_q003,019,t1dm_child,Tema 2,annelik_donusum,chapters/04_bulgular.qmd
014_t1dm_child_q007,014,t1dm_child,Tema 2,hastalik_algisi,chapters/04_bulgular.qmd
014_healthy_sibling_q007,014,healthy_sibling,Tema 2,annelik_donusum,chapters/04_bulgular.qmd
014_healthy_sibling_q008,014,healthy_sibling,Tema 2,kaybetme_korkusu,chapters/04_bulgular.qmd
026_t1dm_child_q010,026,t1dm_child,Tema 2,hastalik_algisi,chapters/04_bulgular.qmd
026_healthy_sibling_q007,026,healthy_sibling,Tema 2,kaybetme_korkusu,chapters/04_bulgular.qmd
020_t1dm_child_q004,020,t1dm_child,Tema 3,hastalik_algisi,chapters/04_bulgular.qmd
011_t1dm_child_q009,011,t1dm_child,Tema 3,hastalik_algisi,chapters/04_bulgular.qmd
014_t1dm_child_q008,014,t1dm_child,Tema 3,gunluk_sosyal,chapters/04_bulgular.qmd
011_t1dm_child_q010,011,t1dm_child,Tema 3,kisit,chapters/04_bulgular.qmd
019_t1dm_child_q004,019,t1dm_child,Tema 3,kisit,chapters/04_bulgular.qmd
020_t1dm_child_q005,020,t1dm_child,Tema 3,kisit,chapters/04_bulgular.qmd
011_t1dm_child_q011,011,t1dm_child,Tema 3,gunluk_sosyal,chapters/04_bulgular.qmd
020_t1dm_child_q006,020,t1dm_child,Tema 3,gunluk_sosyal,chapters/04_bulgular.qmd
019_t1dm_child_q005,019,t1dm_child,Tema 3,gunluk_sosyal,chapters/04_bulgular.qmd
014_t1dm_child_q009,014,t1dm_child,Tema 3,annelik_donusum,chapters/04_bulgular.qmd
011_t1dm_child_q012,011,t1dm_child,Tema 3,annelik_donusum,chapters/04_bulgular.qmd
202_t1dm_child_q005,202,t1dm_child,Tema 3,annelik_donusum,chapters/04_bulgular.qmd
011_t1dm_child_q013,011,t1dm_child,Tema 3,kardes_yasantisi,chapters/04_bulgular.qmd
011_mother_q014,011,mother,Tema 4,kaybetme_korkusu,chapters/04_bulgular.qmd
011_mother_q015,011,mother,Tema 4,kardes_yasantisi,chapters/04_bulgular.qmd
011_mother_q016,011,mother,Tema 4,ihtiyaclar,chapters/04_bulgular.qmd
011_healthy_sibling_q004,011,healthy_sibling,Tema 4,kaybetme_korkusu,chapters/04_bulgular.qmd
011_healthy_sibling_q005,011,healthy_sibling,Tema 4,kardes_yasantisi,chapters/04_bulgular.qmd
014_mother_q016,014,mother,Tema 4,kardes_yasantisi,chapters/04_bulgular.qmd
026_mother_q015,026,mother,Tema 4,kardes_yasantisi,chapters/04_bulgular.qmd
026_healthy_sibling_q008,026,healthy_sibling,Tema 4,kardes_yasantisi,chapters/04_bulgular.qmd
