kume	claim	source_ids	bib_key	bulgu_ankraj	population_fit	measurement_fit	fulltext_locator	iliski	confidence
C2	Eşdeğerlik testi (TOST), önceden belirlenmiş bir en küçük ilgi çekici etki büyüklüğü (SESOI) sınırına göre gözlenen etkinin pratik olarak sıfıra denk olduğunu istatistiksel olarak gösterir; böylece 'fark bulamadık' ifadesi 'anlamlı fark yok' kanıtına dönüştürülebilir.	DOI:10.1177/1948550617697177; PMID:28736600; PMCID:PMC5502906	lakens2017equivalence	apa_t10; apa_t11; CSR#h3-karar	indirect — yöntem primer'i, popülasyon-bağımsız	direct — t-testi/korelasyon için TOST uygulaması, H3 alt ölçek karşılaştırmalarındaki eşdeğerlik yorumuyla birebir	abstract-only	benzer	high
C2	Ebeveyn öz-rapor ölçekleri, yanıtın 'sosyal istenirlik için düzenlenmesi' (yanıt üretiminin beşinci görevi) dahil sistematik çarpıtmalara açıktır; bu nedenle ebeveynlik davranışlarına ilişkin öz-rapor, gerçek uygulamayı değil bildirilebilir/kabul edilebilir uygulamayı yansıtabilir.	DOI:10.1007/s10567-006-0001-5; PMID:16636897	YENI:morsbachPrinz2006	CSR#h3-karar; apa_t10	direct — ebeveynlik davranışını öz-raporla bildiren ebeveynler	direct — ebeveynlik öz-rapor anketlerinin geçerliği (EMBU-P gibi araçlara transfer)	abstract-only (Clin Child Fam Psychol Rev derleme; sosyal-istenirlik düzenleme mekanizması abstract+MeSH düzeyinde)	bosluk-doldurur	high
C2	Çoklu bilgi-verici raporları arasındaki uyuşmazlıklar büyük ve sistematiktir (yalnız ölçüm hatası değil); tek bir bilgi-vericinin (örn. anne) raporu bağlama-özgü, perspektifsel bir penceredir — dolayısıyla anne öz-raporunda fark görülmemesi, bakış açısının görünürlük sınırıyla açıklanabilir.	DOI:10.1037/a0038498; OpenAlex:W2006486450	deLosReyes2015	CSR#h3-karar; apa_t11	partial — çocuk/ergen ruh sağlığı ve ebeveynlik çoklu-informant değerlendirmesi (aile bağlamı örtüşür)	partial — cross-informant uyum meta-analizi; anne öz-raporunun perspektifsel doğasını temellendirir	abstract-only	benzer	high
C2	Ebeveynlerin öz-raporladığı ebeveynlik ile gözlemlenen ebeveynlik arasındaki uyum zayıftır ve özellikle değerlendirildiğini/incelendiğini bilen (ör. müdahale/tedavi) örneklemlerde öz-rapor gözlemden ayrışır — öz-raporun gözlemsel gerçekliği tam yakalamadığını gösterir.	DOI:10.20429/jgpha.2019.070217	YENI:zahidi2019	CSR#h3-karar	partial — tedavi vs tedavi-dışı ebeveyn örneklemleri (kronik hastalık değil; öz-rapor–gözlem ayrışması transfer edilebilir)	partial — öz-rapor vs gözlemlenen ebeveynlik karşılaştırması; EMBU öz-raporunun gözlemsel geçerlik sınırına ışık tutar	abstract-only (açık erişim PDF mevcut)	bosluk-doldurur	moderate
C2	Meta-analiz, kronik hastalıklı çocuk ailelerinde ebeveyn-çocuk ilişkisi ve ebeveynlik davranışlarında sağlıklı ailelere kıyasla KÜÇÜK ama saptanabilir farklar bulmaktadır — dış literatürde küçük bir fark izi varken tezin anne EMBU-P alt ölçeklerinde H0 çıkması, farkın yokluğundan çok öz-rapor kanalındaki görünürlük/atenüasyon sınırına işaret eder.	DOI:10.1093/jpepsy/jst020	pinquart2013	apa_t10; apa_t11; CSR#h3-karar	direct — kronik hastalıklı çocuk aileleri (T1DM dahil) vs sağlıklı; DM×kontrol tasarımıyla örtüşür	partial — ebeveynlik davranışı/ilişki farkları; kısmen gözlem+öz-rapor karışık ölçüm	abstract-only (DOI çözümlenir; Journal of Pediatric Psychology)	farkli	moderate
C2	Tip 1 diyabetli çocuk ebeveynlerinde (özellikle küçük çocuklarda) ebeveynlik stresi ve bakım yükü yükselmiştir — psikolojik yükün belgelenmiş varlığı, tezin anne öz-raporundaki H0'ının 'yük yok' değil 'öz-rapor kanalında görünmeyen yük' biçiminde okunmasını destekler.	DOI:10.1007/s11892-014-0520-2; PMID:25009119; PMCID:PMC4113115	streisandMonaghan2014	CSR#h3-karar; niteliksel#tema-2	direct — T1DM'li çocuk ebeveynleri/anneleri	indirect — ebeveynlik stresi/yük (parenting attitude değil); yük-varlığı ile öz-rapor-null kontrastını kurar	abstract-only (Current Diabetes Reports derleme)	farkli	high
C2	Popülasyon temelli veride, T1DM'li çocuk anneleri babalara göre anlamlı biçimde daha fazla tıbbi-tedavi yükü ve daha fazla duygusal sıkıntı bildirmektedir; yük özellikle tıbbi bakım/gece izlemine bağlanmıştır — maternal yükün 'tıbbi bakıcı' rolüne kaymasını (nitel Tema 2) dış veriyle doğrular.	DOI:10.1111/j.1399-5448.2010.00661.x; PMID:20522171	YENI:haugstvedt2011	niteliksel#tema-2; CSR#h3-karar	direct — T1DM'li çocuk anneleri (ve babaları), popülasyon temelli	indirect — algılanan aile yükü + duygusal sıkıntı (HSCL-25); ebeveynlik-tutumu değil, ancak maternal yük asimetrisini gösterir	abstract-only	farkli	high
C2	Niteliksel kapsam derlemesi, T1DM bakım yükünün ağırlıklı olarak annelerde yoğunlaştığını ve annelik rolünün diyabet yönetimi etrafında tıbbileştiğini göstermektedir — bu, nicel EMBU-P H0'ı ile nitel Tema 2 (anneliğin tıbbi-bakıcıya kayması) arasındaki karma köprüye dış-literatür zemini sağlar.	DOI:10.1016/j.heliyon.2024.e27539; PMID:38524615; PMCID:PMC10958210	azimi2024caregiver	niteliksel#tema-2; CSR#h3-karar	direct — T1DM'li çocuk ebeveynleri (nitel bakıcı-yük sentezi)	indirect — bakıcı yükü niteliksel temaları; ebeveynlik-tutumu ölçümü değil, karma köprü zemini	abstract-only (açık erişim PMC10958210 mevcut)	bosluk-doldurur	high
C3	Maternal depresyonun ebeveynlik üzerindeki etkisi meta-analitik olarak en güçlü şekilde olumsuz/negatif ebeveyn davranışında (irritabilite, düşmanlık), daha az güçlü şekilde ilgisizlik/disengagement'ta ve en zayıf ama anlamlı şekilde olumlu/sıcak davranışın azalmasında görülür; bu sıralama iç bulgumuzdaki |reddetme +0,33| > |sıcaklık -0,28| ≈ |karşılaştırma +0,28| örüntüsüyle yön ve göreli büyüklük açısından tutarlıdır.	DOI:10.1016/s0272-7358(98)00100-7; PMID:10860167	lovejoy2000maternal	apa_t12	partial — genel depresif anne örneklemi (46 gözlemsel çalışma), pediatrik kronik hastalık dışı	partial — gözlemsel ebeveynlik kodlaması vs EMBU-P çok boyutlu bildirim; yapı örtüşür (sıcaklık/negatif davranış)	abstract-only — yön sıralaması ve moderatörler abstract'ta açık	benzer	high
C3	193 çalışmalık meta-analizde maternal depresyon çocuklarda daha yüksek negatif duygulanım/davranış ve daha düşük olumlu duygulanım/davranışla ilişkilidir; tüm ilişkiler küçük büyüklüktedir — iç bulgumuzun standartlaştırılmış β=0,28-0,33 aralığındaki küçük-orta etki büyüklükleriyle uyumlu bir tavan sağlar.	DOI:10.1007/s10567-010-0080-1; PMID:21052833	YENI:goodman2011maternalMetaanalytic	apa_t12	partial — genel maternal depresyon; çocuk psikopatolojisi/duygulanım çıktıları	indirect — çıktı çocuk davranışı/duygulanımı; ebeveynlik davranışı doğrudan değil, büyüklük çerçevesi için kullanılır	abstract-only — 'all associations small in magnitude' abstract'ta açık	benzer	high
C3	Tip 1 diyabetli çocuk örnekleminde maternal depresif belirtiler aile sıcaklığı, aile işlevselliği ve çocuk yaşam kalitesiyle negatif ilişkilidir ve aile sıcaklığı maternal→çocuk depresif belirti ilişkisine aracılık eder — bu, iç bulgumuzun sıcaklık β=-0,28 yönünü tam olarak T1DM bağlamına taşır ve H1 aracılık çerçevesini destekler.	DOI:10.1093/jpepsy/jsm104; PMID:17991690	YENI:jaser2007t1dmMediators	CSR#h4-karar	direct — T1DM'li 8-12 yaş çocuklar ve anneleri	partial — 'aile sıcaklığı' tek boyut vs EMBU-P sıcaklık/reddetme/karşılaştırma/aşırı koruma	abstract-only — r=.44 maternal-çocuk depresyon, sıcaklık aracılığı abstract'ta	bosluk-doldurur	high
C3	Sistematik derleme ve meta-analiz, ebeveynliğin (özellikle sıcaklık ve düşmanlık/olumsuz kontrol boyutlarının) maternal depresyon ile çocuk işlevselliği arasındaki ilişkiye aracılık ettiğini ve depresyon→ebeveynlik (a-yolu) ilişkisinin sağlam olduğunu gösterir; bu, iç bulgumuzun a-yolunun (Beck→EMBU-P) varlığını ve H1 aracılık tutarlılığını doğrudan besler.	DOI:10.1007/s10567-020-00322-4	goodman2020parentingMediator	CSR#h4-karar	partial — genel maternal depresyon; aracılık modeli çerçevesi	direct — ebeveynlik sıcaklık/düşmanlık boyutları aracı değişken olarak, EMBU-P boyutlarıyla örtüşür	abstract-only — a-yolu (depresyon→ebeveynlik) sağlamlığı derleme sonucu	benzer	high
C3	Kronik fiziksel hastalıklı çocuk ailelerinde meta-analitik olarak sıcaklık/duyarlılık azalır (g=-0,22) ancak aşırı koruma belirgin şekilde YÜKSELİR (g=+0,39) — bu aşırı korumanın esas olarak hastalık-kaynaklı olduğunu düşündürür; iç bulgumuzda maternal depresyonun aşırı korumayı yordamaması (β=0,08 ns) bu ayrımı destekler: depresyon sıcaklık/reddetme/karşılaştırmayı sürükler, aşırı korumayı değil.	DOI:10.1093/jpepsy/jst020; PMID:23660152	pinquart2013	apa_t12	direct — kronik fiziksel hastalıklı çocuk aileleri (T1DM dahil geniş kapsam)	partial — sıcaklık/aşırı koruma boyutları örtüşür; yordayıcı hastalık-durumu vs maternal depresyon	abstract-only — g=-.22 sıcaklık, g=+.39 aşırı koruma abstract'ta	farkli	high
C3	Tek-dalga kesitsel verilerden hesaplanan aracılık (a×b) tahminleri, otoregresif boylamsal modele kıyasla sistematik olarak yanlıdır; kesitsel SEM temporal/nedensel aktarımı kanıtlayamaz — bu, iç bulgumuzun 'nedensel aktarım yorumu yok' sınırını ve a-yolu var / b-yolu ns örüntüsünün yalnızca ilişkisel yorumla H1 ile tutarlı sayılabileceğini metodolojik olarak temellendirir.	DOI:10.1080/00273171.2011.606716; OpenAlex:W2119963803	YENI:maxwellCole2011crossMediation	CSR#h4-karar	indirect — metodolojik kaynak, popülasyon-bağımsız	indirect — istatistiksel yöntem uyarısı, SEM yorum sınırı için	abstract-only — kesitsel aracılık yanlılığı temel sonuç	bosluk-doldurur	high
C3	Depresif annelerin çocuklarında psikopatoloji riski için gelişimsel model, işlevsiz ebeveynliği (azalmış sıcaklık, artmış düşmanlık/olumsuzluk ve tutarsız disiplin) kuşaklararası aktarımın temel mekanizmalarından biri olarak konumlar — iç bulgumuzun Beck→EMBU-P sıcaklık(-)/reddetme(+)/karşılaştırma(+) örüntüsüne kuramsal çerçeve sağlar.	DOI:10.1037/0033-295X.106.3.458	goodman1999risk	CSR#h4-karar	partial — depresif anne çocukları kuramsal modeli	indirect — kuramsal mekanizma çerçevesi, ampirik β değil	abstract-only — kuramsal model; ebeveynlik aktarım mekanizması	benzer	high
C3	Güncellenmiş meta-analiz, düşük ebeveyn sıcaklığı ve yüksek reddetme/sert kontrolün çocuk-ergen dışsallaştırma sorunlarıyla ilişkili olduğunu gösterir (b-yolu bağlamı); iç bulgumuzda maternal depresyonun bu 'riskli' boyutları (reddetme +0,33, karşılaştırma +0,28) yordaması, sonraki çocuk-çıktı aracılığı için makul bir a-yolu oluşturduğunu ancak b-yolunun bu kesitsel örneklemde ns kalabileceğini bağlamlandırır.	DOI:10.1037/dev0000295	pinquart2017parentingDimensions	apa_t12	partial — genel çocuk/ergen; kronik hastalık dışı	partial — sıcaklık/reddetme boyutları örtüşür; çıktı dışsallaştırma (b-yolu tarafı)	abstract-only — sıcaklık/reddetme→dışsallaştırma etki büyüklükleri	benzer	moderate
C4	Kronik hastalığı olan çocukların kardeşlerinde uyum, kontrollere göre yalnızca küçük ve heterojen bir olumsuz etki gösterir (51 çalışma, 103 etki büyüklüğü); günlük tedavi rejimi gerektiren hastalıklarda (ör. diyabet) etki daha belirgindir ve ebeveyn raporları çocuk öz-bildiriminden daha olumsuzdur.	DOI:10.1093/jpepsy/27.8.699;PMID:12403860	sharpe2002siblings	apa_t08	direct — kronik hastalık kardeşleri (T1D dâhil karışık tanı havuzu)	partial — psikososyal uyum sonuçları; doğrudan SRQ ilişki kalitesi değil	abstract-only (PMID:12403860)	benzer	high
C4	Kanserli çocukların kardeşlerinde anksiyete, depresyon ve genel uyumun ortalama düzeyleri karşılaştırma gruplarıyla benzerdir ve yaşam kalitesi bulguları karışıktır; niteliksel temalar hem olgunlaşma/şefkat hem de güçlü olumsuz duygular ve karşılanmamış gereksinimleri birlikte içerir, ebeveyn raporları çocuk raporundan daha olumsuzdur.	DOI:10.1002/pon.4669;PMID:29441699	YENI:long2018cancerSibReview	apa_t08	partial — pediatrik kanser kardeşleri (T1D değil)	partial — standart uyum/QoL ölçekleri, SRQ değil	abstract-only (PMID:29441699)	bosluk-doldurur	high
C4	Kronik hastalıkta kardeş uyumu tek yönlü değildir; deneyim, psikososyal uyum, başa çıkma ve iletişim boyutlarında hem risk hem uyum-sağlama (resilience) örüntüleri birlikte gözlenir.	DOI:10.1177/1074840720977177;PMID:33305651	lummerAikey2021	CSR#h2-karar	direct — 0-17 yaş kronik hastalık kardeşleri	indirect — bütünleştirici derleme, ölçek düzeyi değil	abstract-only (PMID:33305651)	benzer	high
C4	Kardeş İlişkileri Anketi (SRQ) çocuk algısından türetilen dört boyut tanımlar — Sıcaklık/Yakınlık, Göreli Statü/Güç, Çatışma, Rekabet — ve aile-takımyıldızı değişkenleriyle örtüşmediğinden ilişki kalitesi bu boyutlarla doğrudan ölçülmelidir.	PMID:3987418	furmanBuhrmester1985srq	apa_t08	indirect — klinik-dışı norm örneklem (5.-6. sınıf); ölçüm-kaynağı	direct — tezin dört SRQ alt ölçeği bu yapıdan gelir	abstract-only (PMID:3987418)	benzer	high
C4	Türkiye örnekleminde kronik hastalığı (diyabet dâhil) olan çocukların sağlıklı kardeşlerinde yaşam kalitesi kontrollere göre düşüktür ve çocuk öz-bildirimindeki genel etki ebeveyn algısından belirgin olarak yüksektir (%30,4'e karşı %15,1), bu da düşük ebeveyn farkındalığına işaret eder.	DOI:10.4274/balkanmedj.galenos.2019.2019.7.142;PMID:31647208	YENI:dinleyici2019siblingQoLTurkiye	niteliksel#tema-1	direct — Türkiye, kronik hastalık (diyabet dâhil) kardeşleri	indirect — PedsQL, SRQ değil	abstract-only (PMID:31647208)	bosluk-doldurur	high
C4	T1DM'li çocukların kardeşlerinin %38'i glisemik kontrol düzeyi, yüksek ebeveyn stresi ve bozulmuş aile işlevselliğiyle ilişkili anlamlı duygusal-davranışsal sorunlar bildirmiştir; kardeş uyumu aile uyumuyla iç içedir ve uyarlanabilir başa çıkma tampon işlevi görür.	DOI:10.1016/j.pedn.2023.10.024;PMID:39492038	elhabashy2023siblings	apa_t09	direct — T1DM kardeşleri (n=100)	indirect — SDQ/KIDCOPE, SRQ değil	abstract-only (PMID:39492038)	bosluk-doldurur	high
C4	288 aileyi kapsayan bir aile-sistemleri modelinde ebeveyn-kardeş iletişim kalitesi daha iyi kardeş yaşam kalitesi ve prososyal davranışla, düşük babalık depresyonu ise daha iyi kardeş ruh sağlığıyla ilişkilidir; kardeş uyumu ilişki-düzeyi ve ebeveyn değişkenleriyle biçimlenir.	DOI:10.1093/jpepsy/jsaf017;PMID:40327755	YENI:kirchhofer2025sibsRiskModel	apa_t09	partial — kronik gelişimsel/fiziksel bozukluk kardeşleri (T1D karışık)	indirect — SEM, kardeş öz-bildirim uyum ölçekleri; SRQ değil	abstract-only (PMID:40327755)	bosluk-doldurur	moderate
C4	Kronik pediatrik (somatik) hastalığı olan çocukların kardeş ilişkilerinde katılım/arkadaşlık ve empati/ilgi düzeyleri, kronik ruhsal bozukluk grubuna göre anlamlı olarak daha yüksektir; rekabet skorları ise 10 yaş altı kardeşlerde her iki grupta yükselir — yani somatik kronik hastalıkta kardeş ilişki kalitesi büyük ölçüde korunabilir/olumlu kalabilir.	DOI:10.3390/children10030587;PMID:36980145	YENI:rad2023siblingDynamics	apa_t08	partial — kronik pediatrik somatik vs. ruhsal bozukluk kardeşleri	partial — SRQ benzeri boyutlar (empati/katılım/arkadaşlık/rekabet), farklı araç	abstract-only (PMID:36980145)	benzer	moderate
C4	Türkiye'de kardeş ilişkilerini ölçmeye yönelik geçerli-güvenilir bir Kardeş İlişkileri Ölçeği (KİÖ) geliştirilmiştir; bu, kardeş ilişki kalitesinin Türk örneklemlerinde nicel olarak ölçülebilirliğini destekler ancak Furman-Buhrmester SRQ'nun doğrudan uyarlaması değildir.	DOI:10.21764/maeuefd.340206;OpenAlex:W2780131787	aktas2017kardesIliskileriOlcegi	apa_t08	direct — Türk örneklem (ölçek geliştirme)	partial — bağımsız Türkçe kardeş-ilişki ölçeği; SRQ ile eşdeğer değil	abstract-only (OpenAlex:W2780131787; dergipark tam-metin OA)	benzer	low
C5	Bilgi verici ayrışmaları rastgele hata değil sistematik ve anlamlıdır: farklı bilgi vericiler çocuğu farklı bağlamlarda gözler, bu nedenle düşük anne-çocuk uyumu ölçüm güvenilmezliği DEĞİL, bağlama/role bağlı geçerli varyanstır (Attribution Bias Context Model).	DOI:10.1037/0033-2909.131.4.483; PMID:16060799	YENI:deLosReyesKazdin2005	CSR#sec-genel-hipotez-ozet	partial — çocuk psikopatolojisi değerlendirmesi; biz ebeveynlik-tutumu algısı ölçüyoruz, kavramsal çerçeve doğrudan aktarılabilir	indirect — kuramsal çerçeve; ICC/latent metriğe doğrudan denk değil	abstract-only (PubMed metadata doğrulandı)	bosluk-doldurur	high
C5	Çok-bilgi-verici yaklaşımda ayrışmalar, tek bir informanta indirgenemeyen, sonuçları öngörebilen informant-özgü geçerli varyans taşır; geçerlilik için informantlar-arası yakınsama (konkordans) ÖN KOŞUL değildir.	DOI:10.1037/a0038498; PMID:25915035	deLosReyes2015	apa_t13	partial — çocuk/ergen ruh sağlığı değerlendirmesi genel	indirect — geçerlik kuramı; bizim ICC/Olsen-Kenny latent metriğimize kavramsal köprü	abstract-only	bosluk-doldurur	high
C5	Operations Triad Model: informantlar arası uyuşmazlık 'diverging operations' olarak yorumlanabilir ve gerçek bağlam-özgül farkı yansıtabilir; 'birden çok stratejinin aynı yönde birleşmesi' (converging operations) beklentisinin karşılanmaması ölçüm başarısızlığı değil, informant-bağlam gerçekliğinin göstergesidir.	DOI:10.1016/j.cpr.2021.102114; PMID:35066239	YENI:deLosReyes2021needsGoals	CSR#h5-karar	partial — genç ruh sağlığı hizmet sunumu; triangülasyon mantığı doğrudan transfer	indirect — converging/diverging operations kavramı bizim ön-kayıtlı '≥3 strateji aynı yön' triangülasyon kriterini teorik olarak çerçeveler	abstract-only (PubMed metadata doğrulandı)	bosluk-doldurur	high
C5	85 çalışma / 476 etki büyüklüğü meta-analizinde ebeveyn-çocuk ebeveynlik-algısı uyumu anlamlı ama YALNIZCA MÜTEVAZI düzeydedir (r küçük-orta); ebeveynler kendi davranışlarını çocuklarından daha olumlu bildirir ve uyum yaşa, klinik statüye, aile bütünlüğüne göre değişir.	DOI:10.1007/s10964-016-0524-0; PMID:27380467	korelitz2016congruence	apa_t13	direct — ebeveynlik davranışı algısı (CRPBI; EMBU'ya yapısal olarak yakın: kabul/kontrol boyutları)	partial — Pearson r + Hedges g; biz ICC/latent uyum kullanıyoruz, yön/büyüklük benchmark'ı geçerli	abstract-only (havuz r ve moderatörler tam-metinde; yön/büyüklük abstract'ta doğrulandı)	benzer	high
C5	Klasik meta-analiz: informantlar-arası uyum düşüktür ve 'durumsal özgüllük' (situational specificity) gösterir — yani düşük korelasyon çocuğun davranış/algısının bağlamdan bağlama gerçekten değişmesindendir, tek bir 'doğru' informant yoktur.	DOI:10.1037/0033-2909.101.2.213; PMID:3562706	achenbach1987crossinformant	CSR#sec-genel-hipotez-ozet	partial — çocuk davranış/duygu problem derecelendirmeleri	partial — informantlar-arası Pearson r; durumsal-özgüllük tezi bizim düşük ICC yorumuna doğrudan uygulanır	abstract-only; havuz ortalama r (~0,28) tam-metinde, durumsal-özgüllük tezi başlık/MeSH ile doğrulandı	benzer	moderate
